"label","text"
"009","&#xE;2\0&#x4;&#x1;촅golf"
"040","&#xE;2\0&#x4;&#x2;촇kick boxing"
"041","&#xE;2\0&#x4;&#x1;촅baseball"
"042","&#xE;2\0&#x4;&#x1;촅rugby"
"030","&#xE;2\0&#x4;&#x1;촅tiro con l'arco"
"043","&#xE;2\0&#x4;&#x1;촅minigolf"
"031","&#xE;2\0&#x4;&#x2;초equitazione"
"044","&#xE;2\0&#x4;&#x2;촇lotta libera"
"032","&#xE;2\0&#x4;&#x1;촅canottaggio"
"045","&#xE;2\0&#x4;&#x2;촇pallamano"
"020","&#xE;2\0&#x4;&#x1;촅taekwondo"
"033","&#xE;2\0&#x4;&#x1;촅bowling"
"021","&#xE;2\0&#x4;&#x1;촅tennis"
"034","&#xE;2\0&#x4;&#x1;촊scacchi"
"022","&#xE;2\0&#x4;&#x1;촅tiro alla fune"
"035","&#xE;2\0&#x4;&#x1;촅motocross"
"010","&#xE;2\0&#x4;&#x1;촅surf"
"023","&#xE;2\0&#x4;&#x1;촆sci nautico"
"036","&#xE;2\0&#x4;&#x1;초origami"
"011","&#xE;2\0&#x4;&#x1;촅calcio"
"024","&#xE;2\0&#x4;&#x2;촇pallacanestro"
"037","&#xE;2\0&#x4;&#x1;촅bridge"
"012","&#xE;2\0&#x4;&#x1;촅jujitsu"
"025","&#xE;2\0&#x4;&#x1;촅badminton"
"038","&#xE;2\0&#x4;&#x2;촇pallanuoto"
"013","&#xE;2\0&#x4;&#x1;촅nuoto"
"026","&#xE;2\0&#x4;&#x2;촇pallavolo"
"039","&#xE;2\0&#x4;&#x1;촅pilates"
"001","&#xE;2\0&#x4;&#x1;촅pattinaggio"
"014","&#xE;2\0&#x4;&#x2;촇dama"
"027","&#xE;2\0&#x4;&#x1;촅cricket"
"002","&#xE;2\0&#x4;&#x1;초hockey"
"015","&#xE;2\0&#x4;&#x1;촆squash"
"028","&#xE;2\0&#x4;&#x1;촅biliardo"
"003","&#xE;2\0&#x4;&#x2;촇pesca sportiva"
"016","&#xE;2\0&#x4;&#x1;촅tiro a segno"
"029","&#xE;2\0&#x4;&#x1;촅beach volley"
"004","&#xE;2\0&#x4;&#x2;초aerobica"
"017","&#xE;2\0&#x4;&#x1;촅salto in alto"
"005","&#xE;2\0&#x4;&#x2;촋bocce"
"018","&#xE;2\0&#x4;&#x2;촇scherma"
"006","&#xE;2\0&#x4;&#x2;촇capoeira"
"019","&#xE;2\0&#x4;&#x1;촅tennis tavolo"
"007","&#xE;2\0&#x4;&#x1;촅karate"
"008","&#xE;2\0&#x4;&#x1;촅kung fu"
