"label","text"
"Bromide_06428","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Walter"
"Bromide_06533","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Norbert"
"Bromide_06696","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Natascha"
"Bromide_06429","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Oswald"
"Bromide_06490","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Nele"
"Bromide_06534","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Biggi"
"Bromide_06697","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Locke"
"Bromide_06491","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Jörg"
"Bromide_06535","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Jürgen"
"Bromide_06640","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Pingi"
"Bromide_06698","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Wolli"
"Bromide_06492","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Paul"
"Bromide_06536","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Herbert"
"Bromide_06641","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Matze"
"Bromide_06699","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Tippsi"
"Bromide_06493","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Gerald"
"Bromide_06537","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Siggi"
"Bromide_06642","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Susanne"
"Bromide_06494","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Jacques"
"Bromide_06538","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Berthold"
"Bromide_06643","&#xE;2\0&#x4;ă촅Foto&#xE;2&#x16;\n\0\0\0&#x2;s von Svenja"
