"label","text"
"Turnip_02633","&#xE;2&#x1A;&#x4;&#x5;촄20 Rüben"
"TurnipExpired_02642","&#xE;2&#x1A;&#x4;&#x5;촄Rüben (verdorben)"
"Turnip_02634","&#xE;2&#x1A;&#x4;&#x5;촄30 Rüben"
"Turnip_02635","&#xE;2&#x1A;&#x4;&#x5;촄40 Rüben"
"Turnip_02636","&#xE;2&#x1A;&#x4;&#x5;촄50 Rüben"
"Turnip_02637","&#xE;2&#x1A;&#x4;&#x5;촄60 Rüben"
"Turnip_02638","&#xE;2&#x1A;&#x4;&#x5;촄70 Rüben"
"Turnip_02640","&#xE;2&#x1A;&#x4;&#x5;촄90 Rüben"
"Turnip_02632","&#xE;2&#x1A;&#x4;&#x5;촄10 Rüben"
"Turnip_02639","&#xE;2&#x1A;&#x4;&#x5;촄80 Rüben"
"Turnip_02641","&#xE;2&#x1A;&#x4;&#x5;촄100 Rüben"
