"label","text"
"FishToy_06978","&#xE;2\0&#x4;ă촅Königslachsmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06979","&#xE;2\0&#x4;ă촅Schiffshaltermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06999","&#xE;2\0&#x4;ă촅Sardellenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07010","&#xE;2\0&#x4;ă촅Stachelmakrelenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07011","&#xE;2\0&#x4;ă촅Riemenfischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06940","&#xE;2\0&#x4;ă촅Anglerfischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07012","&#xE;2\0&#x4;ă촅Lachsmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06941","&#xE;2\0&#x4;ă촅Falterfischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07013","&#xE;2\0&#x4;ă촅Haimodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06942","&#xE;2\0&#x4;ă촅Teleskopaugenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07014","&#xE;2\0&#x4;ă촅Goldmakrelenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06943","&#xE;2\0&#x4;ă촅Glaskopffischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06960","&#xE;2\0&#x4;ă촅Huchenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07015","&#xE;2\0&#x4;ă촅Hammerhaimodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06944","&#xE;2\0&#x4;ă촅Bachschmerlenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06961","&#xE;2\0&#x4;ă촅Walhaimodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07016","&#xE;2\0&#x4;ă촅Quastenflossermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06945","&#xE;2\0&#x4;ă촅Saugbarbenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06962","&#xE;2\0&#x4;ă촅Froschmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07017","&#xE;2\0&#x4;ă촅Weichschildkrötenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06929","&#xE;2\0&#x4;ă촅Karauschenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06946","&#xE;2\0&#x4;ă촅Flussgrundelmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06963","&#xE;2\0&#x4;ă촅Marlinmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06980","&#xE;2\0&#x4;ă촅Karpfenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07018","&#xE;2\0&#x4;ă촅Seebarschmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06964","&#xE;2\0&#x4;ă촅Schnappschildkr.-Modell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06981","&#xE;2\0&#x4;ă촅Anemonenfischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07019","&#xE;2\0&#x4;ă촅Wollhandkrabbenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06965","&#xE;2\0&#x4;ă촅Klieschenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06982","&#xE;2\0&#x4;ă촅See-Engel-Modell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06949","&#xE;2\0&#x4;ă촅Rochenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06983","&#xE;2\0&#x4;ă촅Thunfischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06984","&#xE;2\0&#x4;ă촅Mondfischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06985","&#xE;2\0&#x4;ă촅Killifischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06987","&#xE;2\0&#x4;ă촅Katzenwelsmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06988","&#xE;2\0&#x4;ă촅Paletten-Doktorf.-Modell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06989","&#xE;2\0&#x4;ă촅Napolenfischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07000","&#xE;2\0&#x4;ă촅Döbelmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07001","&#xE;2\0&#x4;ă촅Kaulquappenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06930","&#xE;2\0&#x4;ă촅Goldfischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07002","&#xE;2\0&#x4;ă촅Sägehaimodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06931","&#xE;2\0&#x4;ă촅Bitterlingsmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07003","&#xE;2\0&#x4;ă촅Saiblingsmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07020","&#xE;2\0&#x4;ă촅Kaiserschnappermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06932","&#xE;2\0&#x4;ă촅Makrelenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07004","&#xE;2\0&#x4;ă촅Hechtmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07021","&#xE;2\0&#x4;ă촅Seepferdchenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06933","&#xE;2\0&#x4;ă촅Skalarmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06950","&#xE;2\0&#x4;ă촅Flösselhechtmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07005","&#xE;2\0&#x4;ă촅Piranhamodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07022","&#xE;2\0&#x4;ă촅Tilapiamodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06951","&#xE;2\0&#x4;ă촅Kugelfischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07006","&#xE;2\0&#x4;ă촅Arapaimamodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07023","&#xE;2\0&#x4;ă촅Störmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06935","&#xE;2\0&#x4;ă촅Arowanamodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06952","&#xE;2\0&#x4;ă촅Knochenhechtmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07007","&#xE;2\0&#x4;ă촅Schlangenkopfmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07024","&#xE;2\0&#x4;ă촅Haselmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06936","&#xE;2\0&#x4;ă촅Ayumodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06953","&#xE;2\0&#x4;ă촅Goldforellenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07008","&#xE;2\0&#x4;ă촅Regenbogenfischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07025","&#xE;2\0&#x4;ă촅Muränenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07836","&#xE;2\0&#x4;ă촅Rotfeuerfischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06937","&#xE;2\0&#x4;ă촅Kampffischmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06954","&#xE;2\0&#x4;ă촅Guppymodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07009","&#xE;2\0&#x4;ă촅Ranchumodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07026","&#xE;2\0&#x4;ă촅Stintmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07837","&#xE;2\0&#x4;ă촅Lachssalmlermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06938","&#xE;2\0&#x4;ă촅Barschmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_06955","&#xE;2\0&#x4;ă촅Nasenmuränenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"FishToy_07027","&#xE;2\0&#x4;ă촅Masulachsmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
