"label","text"
"Umbrella_07174","&#xE;2\0&#x4;ā촃Pilzregenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07175","&#xE;2\0&#x4;ā촃Märchenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09945","&#xE;2\0&#x4;ā촃Kirschblütenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07176","&#xE;2\0&#x4;ā촃Pink-Niedlich-Schirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09946","&#xE;2\0&#x4;ă촅Damenschirmchen&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07177","&#xE;2\0&#x4;ā촃Kabuki-Schirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09947","&#xE;2\0&#x4;ā촃Pfirsichschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07178","&#xE;2\0&#x4;ă촅Papierschirmchen&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09948","&#xE;2\0&#x4;ā촃Apfelschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07179","&#xE;2\0&#x4;ā촃Regenbogenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09949","&#xE;2\0&#x4;ā촃Kirschschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_09960","&#xE;2\0&#x4;ā촃Smaragdschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06904","&#xE;2\0&#x4;ā촃Sommerschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06905","&#xE;2\0&#x4;ā촃Schneeflockenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06906","&#xE;2\0&#x4;ā촃Hortensienschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06840","&#xE;2\0&#x4;ā촃Blättchenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06907","&#xE;2\0&#x4;ā촃Erdbeerschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_12133","&#xE;2\0&#x4;ā촃Lila-Niedlich-Schirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06908","&#xE;2\0&#x4;ā촃Kiwischirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_12134","&#xE;2\0&#x4;ā촃Blau-Niedlich-Schirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06909","&#xE;2\0&#x4;ā촃Wassermelonenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_12135","&#xE;2\0&#x4;ā촃Weiß-Niedlich-Schirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_12136","&#xE;2\0&#x4;ā촃Grün-Klassikschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07164","&#xE;2\0&#x4;ā촃Pink-Schirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_12137","&#xE;2\0&#x4;ā촃Schwarz-Klassikschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06923","&#xE;2\0&#x4;ā촃Tarnschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07165","&#xE;2\0&#x4;ā촃Plastikschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_12138","&#xE;2\0&#x4;ā촃Rot-Klassikschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06924","&#xE;2\0&#x4;ā촃Geisterschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07166","&#xE;2\0&#x4;ā촃Zweifarbschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_06925","&#xE;2\0&#x4;ā촃Froschschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
"Umbrella_07167","&#xE;2\0&#x4;ā촃Bärenschirm&#xE;2&#x16;\n\0\0\0&#x2;s"
