"label","text"
"InsectToy_05927","&#xE;2\0&#x4;ă촅Wespenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_05944","&#xE;2\0&#x4;ă촅Schwalbenschwanzmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07079","&#xE;2\0&#x4;ă촅Spinnenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07096","&#xE;2\0&#x4;ă촅Singgrillenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_05928","&#xE;2\0&#x4;ă촅Honigbienenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07097","&#xE;2\0&#x4;ă촅Nasenschreckenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07108","&#xE;2\0&#x4;ă촅Einsiedlerkrebsmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_05929","&#xE;2\0&#x4;ă촅Goldskarabäusmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07109","&#xE;2\0&#x4;ă촅Mega-Atlasspinnermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07099","&#xE;2\0&#x4;ă촅Prachtkäfermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07060","&#xE;2\0&#x4;ă촅Fliegenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07061","&#xE;2\0&#x4;ă촅Orchideenmantismodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07062","&#xE;2\0&#x4;ă촅Sandlaufkäfermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07046","&#xE;2\0&#x4;ă촅Braunzikadenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07063","&#xE;2\0&#x4;ă촅Abendzikadenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07080","&#xE;2\0&#x4;ă촅Agrias-Faltermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07064","&#xE;2\0&#x4;ă촅Cyclommatusmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07081","&#xE;2\0&#x4;ă촅Hyalessa-Zikadenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07065","&#xE;2\0&#x4;ă촅Leuchtkäfermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07082","&#xE;2\0&#x4;ă촅Sackträgermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07110","&#xE;2\0&#x4;ă촅Elefantenkäfermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07049","&#xE;2\0&#x4;ă촅Troides-brookiana-Modell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07066","&#xE;2\0&#x4;ă촅Mistkäfermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07083","&#xE;2\0&#x4;ă촅Hirschkäfermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07111","&#xE;2\0&#x4;ă촅Kolibrifaltermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07067","&#xE;2\0&#x4;ă촅Heuschreckenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07084","&#xE;2\0&#x4;ă촅Zitronenfaltermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07112","&#xE;2\0&#x4;ă촅Weiße-Baumnym.-Modell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07407","&#xE;2\0&#x4;ă촅Hundertfüßermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07068","&#xE;2\0&#x4;ă촅Gottesanbeterinnenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07085","&#xE;2\0&#x4;ă촅Kohlweißlingmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07113","&#xE;2\0&#x4;ă촅Japan-Schillerfaltermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07069","&#xE;2\0&#x4;ă촅Stinkwanzenmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07086","&#xE;2\0&#x4;ă촅Himmelsfaltermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_07114","&#xE;2\0&#x4;ă촅Japan-Rosenkäfermodell&#xE;2&#x16;\n\0\0\0&#x2;s"
"InsectToy_05935","&#xE;2\0&#x4;ă촅Flohmodell&#xE;2&#x16;\n\0\0\0&#x2;s"
