"label","text"
"CraftMaterial_02767_pl","&#xE;2\0&#x4;ȃ촄zachthout"
"AutumnLeaf_07374","&#xE;2\0&#x4;ă촄esdoornblad"
"CraftMaterial_02501_pl","&#xE;2\0&#x4;ȅ촃bamboestokken"
"StarPiece_05995_pl","&#xE;2\0&#x4;ȅ촃Schorpioenfragmenten"
"CraftMaterial_05731_pl","&#xE;2\0&#x4;ȅ촃blauwe versieringen"
"CraftRemake_02513_pl","&#xE;2\0&#x4;ȅ촃aanpassingspakketten"
"Ore_02511_pl","&#xE;2\0&#x4;ȅ촃ijzerklompjes"
"CraftRemake_02513","&#xE;2\0&#x4;ă촄aanpassingspakket"
"Ore_02511","&#xE;2\0&#x4;ă촄ijzerklompje"
"StarPiece_05983","&#xE;2\0&#x4;ă촄sterrenfragment"
"StarPiece_05986_pl","&#xE;2\0&#x4;ȅ촃Watermanfragmenten"
"StarPiece_05984","&#xE;2\0&#x4;ă촄grote sterrenfragment"
"CraftMaterial_02500_pl","&#xE;2\0&#x4;ȅ촃takken"
"StarPiece_05985","&#xE;2\0&#x4;ă촄Steenbokfragment"
"StarPiece_05986","&#xE;2\0&#x4;ă촄Watermanfragment"
"Ore_03090","&#xE;2\0&#x4;Ą촃kleihomp"
"StarPiece_05987","&#xE;2\0&#x4;ă촄Vissenfragment"
"StarPiece_05994_pl","&#xE;2\0&#x4;ȅ촃Weegschaalfragmenten"
"CraftMaterial_02500","&#xE;2\0&#x4;Ą촃tak"
"CraftMaterial_05730_pl","&#xE;2\0&#x4;ȅ촃rode versieringen"
"StarPiece_05988","&#xE;2\0&#x4;ă촄Ramfragment"
"StarPiece_05990_pl","&#xE;2\0&#x4;ȅ촃Tweelingenfragmenten"
"CraftMaterial_02501","&#xE;2\0&#x4;Ą촃bamboestok"
"Ore_02505_pl","&#xE;2\0&#x4;ȅ촃goudklompjes"
"StarPiece_05985_pl","&#xE;2\0&#x4;ȅ촃Steenbokfragmenten"
"StarPiece_05989","&#xE;2\0&#x4;ă촄Stierfragment"
"CraftMaterial_05727","&#xE;2\0&#x4;Ą촃eikel"
"CraftMaterial_05728","&#xE;2\0&#x4;Ą촃dennenappel"
"CraftMaterial_05729_pl","&#xE;2\0&#x4;ȅ촃jonge lentebamboe"
"Sakurapetal_05859","&#xE;2\0&#x4;ă촄kersenbloesemblaadje"
"StarPiece_05989_pl","&#xE;2\0&#x4;ȅ촃Stierfragmenten"
"CraftMaterial_02769_pl","&#xE;2\0&#x4;ȃ촄hardhout"
"CraftMaterial_05729","&#xE;2\0&#x4;ȅ촃jonge lentebamboe"
"Ore_02502","&#xE;2\0&#x4;Ą촃steen"
"SnowCrystal_03539","&#xE;2\0&#x4;Ą촃sneeuwvlok"
"StarPiece_05993_pl","&#xE;2\0&#x4;ȅ촃Maagdfragmenten"
"Ore_02505","&#xE;2\0&#x4;ă촄goudklompje"
"StarPiece_05988_pl","&#xE;2\0&#x4;ȅ촃Ramfragmenten"
"CraftMaterial_02768_pl","&#xE;2\0&#x4;ȃ촄hout"
"StarPiece_05984_pl","&#xE;2\0&#x4;ȅ촃grote sterrenfragmenten"
"StarPiece_05990","&#xE;2\0&#x4;ă촄Tweelingenfragment"
"StarPiece_05991","&#xE;2\0&#x4;ă촄Kreeftfragment"
"SnowCrystal_03540_pl","&#xE;2\0&#x4;ȅ촃grote sneeuwvlokken"
"StarPiece_05992","&#xE;2\0&#x4;ă촄Leeuwfragment"
"StarPiece_05996_pl","&#xE;2\0&#x4;ȅ촃Boogschutterfragmenten"
"CraftPhoneCase_08760","&#xE;2\0&#x4;ă촄NookPhone-hoesje"
"StarPiece_05992_pl","&#xE;2\0&#x4;ȅ촃Leeuwfragmenten"
"StarPiece_05993","&#xE;2\0&#x4;ă촄Maagdfragment"
"CraftMaterial_02767","&#xE;2\0&#x4;ȃ촄zachthout"
"StarPiece_05987_pl","&#xE;2\0&#x4;ȅ촃Vissenfragmenten"
"StarPiece_05994","&#xE;2\0&#x4;ă촄Weegschaalfragment"
"CraftMaterial_02768","&#xE;2\0&#x4;ȃ촄hout"
"CraftMaterial_05728_pl","&#xE;2\0&#x4;ȅ촃dennenappels"
"StarPiece_05983_pl","&#xE;2\0&#x4;ȅ촃sterrenfragmenten"
"StarPiece_05995","&#xE;2\0&#x4;ă촄Schorpioenfragment"
"CraftMaterial_02769","&#xE;2\0&#x4;ȃ촄hardhout"
"StarPiece_05996","&#xE;2\0&#x4;ă촄Boogschutterfragment"
"AutumnLeaf_07374_pl","&#xE;2\0&#x4;ȅ촃esdoornbladeren"
"CraftMaterial_05730","&#xE;2\0&#x4;Ą촃rode versiering"
"Ore_03090_pl","&#xE;2\0&#x4;ȅ촃kleihompen"
"CraftMaterial_05731","&#xE;2\0&#x4;Ą촃blauwe versiering"
"CraftMaterial_05732","&#xE;2\0&#x4;Ą촃gouden versiering"
"SnowCrystal_03539_pl","&#xE;2\0&#x4;ȅ촃sneeuwvlokken"
"SnowCrystal_03540","&#xE;2\0&#x4;Ą촃grote sneeuwvlok"
"StarPiece_05991_pl","&#xE;2\0&#x4;ȅ촃Kreeftfragmenten"
"CraftMaterial_05732_pl","&#xE;2\0&#x4;ȅ촃gouden versieringen"
"CraftMaterial_05727_pl","&#xE;2\0&#x4;ȅ촃eikels"
"Ore_02502_pl","&#xE;2\0&#x4;ȅ촃stenen"
"Sakurapetal_05859_pl","&#xE;2\0&#x4;ȅ촃kersenbloesemblaadjes"
