"label","text"
"InsectToy_05927","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и осы"
"InsectToy_05944","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и махаона"
"InsectToy_07079","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и паука"
"InsectToy_07096","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и домашнего сверчка"
"InsectToy_05928","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и восковой пчелы"
"InsectToy_07097","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и акриды"
"InsectToy_07108","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и рака-отшельника"
"InsectToy_05929","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и золотого скарабея"
"InsectToy_07109","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и павлиноглазки атл."
"InsectToy_07099","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и златки"
"InsectToy_07060","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и мухи"
"InsectToy_07061","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и орхид. богомола"
"InsectToy_07062","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и жука-скакуна"
"InsectToy_07046","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и коричнев. цикады"
"InsectToy_07063","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и ночной цикады"
"InsectToy_07080","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и агриаса клаудина"
"InsectToy_07064","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и жука-рогача"
"InsectToy_07081","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и певчей цикады"
"InsectToy_07065","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и светлячка"
"InsectToy_07082","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и мешочницы"
"InsectToy_07110","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и жука-слона"
"InsectToy_07049","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и трогоноптеры Бр."
"InsectToy_07066","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и жука-навозника"
"InsectToy_07083","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и горн. жука-оленя"
"InsectToy_07111","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и графиума сарпед."
"InsectToy_07067","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и рисовой кобылки"
"InsectToy_07084","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и желтушки"
"InsectToy_07112","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и идеи левконоя"
"InsectToy_07407","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и многоножки"
"InsectToy_07068","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и богомола"
"InsectToy_07085","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и белянки"
"InsectToy_07113","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и сасакии харонды"
"InsectToy_07069","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и щитника"
"InsectToy_07086","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и морфо менелая"
"InsectToy_07114","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и бронзовки"
