"label","text"
"FishToy_06978","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и чавычи"
"FishToy_06979","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и прилипалы"
"FishToy_06999","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и хамсы"
"FishToy_07010","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и гигантск. каранкса"
"FishToy_07011","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и сельдяного короля"
"FishToy_06940","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и гимантолофа"
"FishToy_07012","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и лосося"
"FishToy_06941","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и рыбы-бабочки"
"FishToy_07013","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и акулы"
"FishToy_06942","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и рыбы-телескопа"
"FishToy_07014","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и корифены"
"FishToy_06943","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и опистопрокта"
"FishToy_06960","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и тайменя"
"FishToy_07015","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и рыбы-молота"
"FishToy_06944","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и вьюна"
"FishToy_06961","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и китовой акулы"
"FishToy_07016","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и латимерии"
"FishToy_06945","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и рыбы-доктора"
"FishToy_06962","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и лягушки"
"FishToy_07017","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и трионикса"
"FishToy_06929","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и карася"
"FishToy_06946","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и одонтобутиса"
"FishToy_06963","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и голубого марлина"
"FishToy_06980","&#xE;2\0&#x4;&#x2;촀модел&#xE;2&#x16;&#x10;&#x2;ь&#x2;ь&#x2;и&#x2;и сазана"
