"label","text"
"Sport","&#xE;2\0&#x4;&#x1;촀спортивн&#xE;2&#x16;&#x1C;&#x4;ый&#x4;ый&#x6;ому&#x6;ого"
"Fairyland","&#xE;2\0&#x4;&#x1;촀фантазийн&#xE;2&#x16;&#x1C;&#x4;ый&#x4;ый&#x6;ому&#x6;ого"
"Vacation","&#xE;2\0&#x4;&#x1;촀отпускно&#xE;2&#x16;&#x14;&#x2;й&#x2;й&#x4;му&#x4;го"
"Fomal","&#xE;2\0&#x4;&#x1;촀формальн&#xE;2&#x16;&#x1C;&#x4;ый&#x4;ый&#x6;ому&#x6;ого"
"Relax","&#xE;2\0&#x4;&#x1;촀удобн&#xE;2&#x16;&#x1C;&#x4;ый&#x4;ый&#x6;ому&#x6;ого"
"Work","&#xE;2\0&#x4;&#x1;촀рабоч&#xE;2&#x16;&#x1C;&#x4;ий&#x4;ий&#x6;ему&#x6;его"
"Horror","&#xE;2\0&#x4;&#x1;촀готическ&#xE;2&#x16;&#x1C;&#x4;ий&#x4;ий&#x6;ому&#x6;ого"
"Daily","&#xE;2\0&#x4;&#x1;촀повседневн&#xE;2&#x16;&#x1C;&#x4;ый&#x4;ый&#x6;ому&#x6;ого"
"Party","&#xE;2\0&#x4;&#x1;촀праздничн&#xE;2&#x16;&#x1C;&#x4;ый&#x4;ый&#x6;ому&#x6;ого"
"Stage","&#xE;2\0&#x4;&#x1;촀эффектн&#xE;2&#x16;&#x1C;&#x4;ый&#x4;ый&#x6;ому&#x6;ого"
"Outdoor","&#xE;2\0&#x4;&#x1;촀походн&#xE;2&#x16;&#x1C;&#x4;ый&#x4;ый&#x6;ому&#x6;ого"
