"label","text"
"Money_02138","&#xE;2\0&#x4;&#x5;촀25 000 диней"
"Money_02199","&#xE;2\0&#x4;&#x5;촀86 000 диней"
"Money_02139","&#xE;2\0&#x4;&#x5;촀26 000 диней"
"Money_02180","&#xE;2\0&#x4;&#x5;촀67 000 диней"
"Money_02120","&#xE;2\0&#x4;&#x5;촀7000 диней"
"Money_02181","&#xE;2\0&#x4;&#x5;촀68 000 диней"
"Money_02121","&#xE;2\0&#x4;&#x5;촀8000 диней"
"Money_02182","&#xE;2\0&#x4;&#x5;촀69 000 диней"
"Money_02122","&#xE;2\0&#x4;&#x5;촀9000 диней"
"Money_02183","&#xE;2\0&#x4;&#x5;촀70 000 диней"
"Money_02200","&#xE;2\0&#x4;&#x5;촀87 000 диней"
"Money_02123","&#xE;2\0&#x4;&#x5;촀10 000 диней"
"Money_02184","&#xE;2\0&#x4;&#x5;촀71 000 диней"
"Money_02201","&#xE;2\0&#x4;&#x5;촀88 000 диней"
"Money_02124","&#xE;2\0&#x4;&#x5;촀11 000 диней"
"Money_02185","&#xE;2\0&#x4;&#x5;촀72 000 диней"
"Money_02202","&#xE;2\0&#x4;&#x5;촀89 000 диней"
"Money_02125","&#xE;2\0&#x4;&#x5;촀12 000 диней"
"Money_02186","&#xE;2\0&#x4;&#x5;촀73 000 диней"
"Money_02203","&#xE;2\0&#x4;&#x5;촀90 000 диней"
"Money_02126","&#xE;2\0&#x4;&#x5;촀13 000 диней"
"Money_02187","&#xE;2\0&#x4;&#x5;촀74 000 диней"
"Money_02204","&#xE;2\0&#x4;&#x5;촀91 000 диней"
"Money_02127","&#xE;2\0&#x4;&#x5;촀14 000 диней"
"Money_02188","&#xE;2\0&#x4;&#x5;촀75 000 диней"
"Money_02205","&#xE;2\0&#x4;&#x5;촀92 000 диней"
"Money_02128","&#xE;2\0&#x4;&#x5;촀15 000 диней"
"Money_02189","&#xE;2\0&#x4;&#x5;촀76 000 диней"
"Money_02206","&#xE;2\0&#x4;&#x5;촀93 000 диней"
"Money_02129","&#xE;2\0&#x4;&#x5;촀16 000 диней"
"Money_02170","&#xE;2\0&#x4;&#x5;촀57 000 диней"
"Money_02207","&#xE;2\0&#x4;&#x5;촀94 000 диней"
"Money_02110","&#xE;2\0&#x4;&#x5;촀600 диней"
"Money_02171","&#xE;2\0&#x4;&#x5;촀58 000 диней"
"Money_02208","&#xE;2\0&#x4;&#x5;촀95 000 диней"
"Money_02111","&#xE;2\0&#x4;&#x5;촀700 диней"
"Money_02172","&#xE;2\0&#x4;&#x5;촀59 000 диней"
"Money_02209","&#xE;2\0&#x4;&#x5;촀96 000 диней"
"Money_02112","&#xE;2\0&#x4;&#x5;촀800 диней"
"Money_02173","&#xE;2\0&#x4;&#x5;촀60 000 диней"
"Money_02113","&#xE;2\0&#x4;&#x5;촀900 диней"
"Money_02174","&#xE;2\0&#x4;&#x5;촀61 000 диней"
"Money_02114","&#xE;2\0&#x4;&#x5;촀1000 диней"
"Money_02175","&#xE;2\0&#x4;&#x5;촀62 000 диней"
"Money_02115","&#xE;2\0&#x4;&#x5;촀2000 диней"
"Money_02176","&#xE;2\0&#x4;&#x5;촀63 000 диней"
"Money_02116","&#xE;2\0&#x4;&#x5;촀3000 диней"
"Money_02177","&#xE;2\0&#x4;&#x5;촀64 000 диней"
"Money_02117","&#xE;2\0&#x4;&#x5;촀4000 диней"
"Money_02178","&#xE;2\0&#x4;&#x5;촀65 000 диней"
"Money_02118","&#xE;2\0&#x4;&#x5;촀5000 диней"
"Money_02179","&#xE;2\0&#x4;&#x5;촀66 000 диней"
"Money_02119","&#xE;2\0&#x4;&#x5;촀6000 диней"
"Money_02160","&#xE;2\0&#x4;&#x5;촀47 000 диней"
"Money_02161","&#xE;2\0&#x4;&#x5;촀48 000 диней"
"Money_02162","&#xE;2\0&#x4;&#x5;촀49 000 диней"
"Money_02163","&#xE;2\0&#x4;&#x5;촀50 000 диней"
"Money_02164","&#xE;2\0&#x4;&#x5;촀51 000 диней"
"Money_02165","&#xE;2\0&#x4;&#x5;촀52 000 диней"
"Money_02105","&#xE;2\0&#x4;&#x5;촀100 диней"
"Money_02166","&#xE;2\0&#x4;&#x5;촀53 000 диней"
"Money_02106","&#xE;2\0&#x4;&#x5;촀200 диней"
"Money_02167","&#xE;2\0&#x4;&#x5;촀54 000 диней"
"Money_02107","&#xE;2\0&#x4;&#x5;촀300 диней"
"Money_02168","&#xE;2\0&#x4;&#x5;촀55 000 диней"
"Money_02108","&#xE;2\0&#x4;&#x5;촀400 диней"
"Money_02169","&#xE;2\0&#x4;&#x5;촀56 000 диней"
"Money_02109","&#xE;2\0&#x4;&#x5;촀500 диней"
"Money_02150","&#xE;2\0&#x4;&#x5;촀37 000 диней"
"Money_02151","&#xE;2\0&#x4;&#x5;촀38 000 диней"
"Money_02152","&#xE;2\0&#x4;&#x5;촀39 000 диней"
"Money_02153","&#xE;2\0&#x4;&#x5;촀40 000 диней"
"Money_02154","&#xE;2\0&#x4;&#x5;촀41 000 диней"
"Money_02155","&#xE;2\0&#x4;&#x5;촀42 000 диней"
"Money_02156","&#xE;2\0&#x4;&#x5;촀43 000 диней"
"Money_02157","&#xE;2\0&#x4;&#x5;촀44 000 диней"
"Money_02158","&#xE;2\0&#x4;&#x5;촀45 000 диней"
"Money_02159","&#xE;2\0&#x4;&#x5;촀46 000 диней"
"Money_02140","&#xE;2\0&#x4;&#x5;촀27 000 диней"
"Money_02141","&#xE;2\0&#x4;&#x5;촀28 000 диней"
"Money_02142","&#xE;2\0&#x4;&#x5;촀29 000 диней"
"Money_02143","&#xE;2\0&#x4;&#x5;촀30 000 диней"
"Money_02144","&#xE;2\0&#x4;&#x5;촀31 000 диней"
"Money_02145","&#xE;2\0&#x4;&#x5;촀32 000 диней"
"Money_02146","&#xE;2\0&#x4;&#x5;촀33 000 диней"
"Money_02147","&#xE;2\0&#x4;&#x5;촀34 000 диней"
"Money_02148","&#xE;2\0&#x4;&#x5;촀35 000 диней"
"Money_02149","&#xE;2\0&#x4;&#x5;촀36 000 диней"
"Money_02190","&#xE;2\0&#x4;&#x5;촀77 000 диней"
"Money_02130","&#xE;2\0&#x4;&#x5;촀17 000 диней"
"Money_02191","&#xE;2\0&#x4;&#x5;촀78 000 диней"
"Money_02131","&#xE;2\0&#x4;&#x5;촀18 000 диней"
"Money_02192","&#xE;2\0&#x4;&#x5;촀79 000 диней"
"Money_02132","&#xE;2\0&#x4;&#x5;촀19 000 диней"
"Money_02193","&#xE;2\0&#x4;&#x5;촀80 000 диней"
"Money_02210","&#xE;2\0&#x4;&#x5;촀97 000 диней"
"Money_02133","&#xE;2\0&#x4;&#x5;촀20 000 диней"
"Money_02194","&#xE;2\0&#x4;&#x5;촀81 000 диней"
"Money_02211","&#xE;2\0&#x4;&#x5;촀98 000 диней"
"Money_02134","&#xE;2\0&#x4;&#x5;촀21 000 диней"
"Money_02195","&#xE;2\0&#x4;&#x5;촀82 000 диней"
"Money_02212","&#xE;2\0&#x4;&#x5;촀99 000 диней"
"Money_02135","&#xE;2\0&#x4;&#x5;촀22 000 диней"
"Money_02196","&#xE;2\0&#x4;&#x5;촀83 000 диней"
"Money_02136","&#xE;2\0&#x4;&#x5;촀23 000 диней"
"Money_02197","&#xE;2\0&#x4;&#x5;촀84 000 диней"
"Money_02137","&#xE;2\0&#x4;&#x5;촀24 000 диней"
"Money_02198","&#xE;2\0&#x4;&#x5;촀85 000 диней"
