"label","text"
"009","&#xE;2\0&#x4;&#x1;촃hip hop"
"040","&#xE;2\0&#x4;&#x1;촃reguetón"
"030","&#xE;2\0&#x4;&#x1;촃duduá"
"031","&#xE;2\0&#x4;&#x1;촃r&b"
"032","&#xE;2\0&#x4;&#x2;촄ópera"
"020","&#xE;2\0&#x4;&#x2;촄bossa nova"
"033","&#xE;2\0&#x4;&#x2;촄música ranchera"
"021","&#xE;2\0&#x4;&#x1;촃blues"
"034","&#xE;2\0&#x4;&#x2;촄música étnica"
"022","&#xE;2\0&#x4;&#x1;촃soul"
"035","&#xE;2\0&#x4;&#x2;촄música clásica"
"010","&#xE;2\0&#x4;&#x2;촄música country"
"023","&#xE;2\0&#x4;&#x1;촃merengue"
"036","&#xE;2\0&#x4;&#x1;촃rap"
"011","&#xE;2\0&#x4;&#x1;촃rock alternativo"
"024","&#xE;2\0&#x4;&#x2;촄música disco"
"037","&#xE;2\0&#x4;&#x2;촄música folclórica"
"012","&#xE;2\0&#x4;&#x2;촄música folk"
"025","&#xE;2\0&#x4;&#x2;촄samba"
"038","&#xE;2\0&#x4;&#x1;촃flamenco"
"013","&#xE;2\0&#x4;&#x1;촃punk"
"026","&#xE;2\0&#x4;&#x1;촃swing"
"039","&#xE;2\0&#x4;&#x1;촃vallenato"
"001","&#xE;2\0&#x4;&#x2;촄cumbia"
"014","&#xE;2\0&#x4;&#x2;촄bachata"
"027","&#xE;2\0&#x4;&#x1;촃mariachi"
"002","&#xE;2\0&#x4;&#x1;촃pop"
"015","&#xE;2\0&#x4;&#x2;촄salsa"
"028","&#xE;2\0&#x4;&#x1;촃heavy metal"
"003","&#xE;2\0&#x4;&#x1;촃jazz"
"016","&#xE;2\0&#x4;&#x1;촃mambo"
"029","&#xE;2\0&#x4;&#x1;촃k-pop"
"004","&#xE;2\0&#x4;&#x1;촃trip hop"
"017","&#xE;2\0&#x4;&#x1;촃reggae"
"005","&#xE;2\0&#x4;&#x1;촃rock"
"018","&#xE;2\0&#x4;&#x1;촃tango"
"006","&#xE;2\0&#x4;&#x1;촃bolero"
"019","&#xE;2\0&#x4;&#x1;촃tecnopop"
"007","&#xE;2\0&#x4;&#x2;촄música electrónica"
"008","&#xE;2\0&#x4;&#x2;촄polca"
