"label","text"
"Money_02138","&#xE;2\0&#x4;\0촀25,000 Bells"
"Money_02199","&#xE;2\0&#x4;\0촀86,000 Bells"
"Money_02139","&#xE;2\0&#x4;\0촀26,000 Bells"
"Money_02180","&#xE;2\0&#x4;\0촀67,000 Bells"
"Money_02120","&#xE;2\0&#x4;\0촀7,000 Bells"
"Money_02181","&#xE;2\0&#x4;\0촀68,000 Bells"
"Money_02121","&#xE;2\0&#x4;\0촀8,000 Bells"
"Money_02182","&#xE;2\0&#x4;\0촀69,000 Bells"
"Money_02122","&#xE;2\0&#x4;\0촀9,000 Bells"
"Money_02183","&#xE;2\0&#x4;\0촀70,000 Bells"
"Money_02200","&#xE;2\0&#x4;\0촀87,000 Bells"
"Money_02123","&#xE;2\0&#x4;\0촀10,000 Bells"
"Money_02184","&#xE;2\0&#x4;\0촀71,000 Bells"
"Money_02201","&#xE;2\0&#x4;\0촀88,000 Bells"
"Money_02124","&#xE;2\0&#x4;\0촀11,000 Bells"
"Money_02185","&#xE;2\0&#x4;\0촀72,000 Bells"
"Money_02202","&#xE;2\0&#x4;\0촀89,000 Bells"
"Money_02125","&#xE;2\0&#x4;\0촀12,000 Bells"
"Money_02186","&#xE;2\0&#x4;\0촀73,000 Bells"
"Money_02203","&#xE;2\0&#x4;\0촀90,000 Bells"
"Money_02126","&#xE;2\0&#x4;\0촀13,000 Bells"
"Money_02187","&#xE;2\0&#x4;\0촀74,000 Bells"
"Money_02204","&#xE;2\0&#x4;\0촀91,000 Bells"
"Money_02127","&#xE;2\0&#x4;\0촀14,000 Bells"
"Money_02188","&#xE;2\0&#x4;\0촀75,000 Bells"
"Money_02205","&#xE;2\0&#x4;\0촀92,000 Bells"
"Money_02128","&#xE;2\0&#x4;\0촀15,000 Bells"
"Money_02189","&#xE;2\0&#x4;\0촀76,000 Bells"
"Money_02206","&#xE;2\0&#x4;\0촀93,000 Bells"
"Money_02129","&#xE;2\0&#x4;\0촀16,000 Bells"
"Money_02170","&#xE;2\0&#x4;\0촀57,000 Bells"
"Money_02207","&#xE;2\0&#x4;\0촀94,000 Bells"
"Money_02110","&#xE;2\0&#x4;\0촀600 Bells"
"Money_02171","&#xE;2\0&#x4;\0촀58,000 Bells"
"Money_02208","&#xE;2\0&#x4;\0촀95,000 Bells"
"Money_02111","&#xE;2\0&#x4;\0촀700 Bells"
"Money_02172","&#xE;2\0&#x4;\0촀59,000 Bells"
"Money_02209","&#xE;2\0&#x4;\0촀96,000 Bells"
"Money_02112","&#xE;2\0&#x4;\0촀800 Bells"
"Money_02173","&#xE;2\0&#x4;\0촀60,000 Bells"
"Money_02113","&#xE;2\0&#x4;\0촀900 Bells"
"Money_02174","&#xE;2\0&#x4;\0촀61,000 Bells"
"Money_02114","&#xE;2\0&#x4;\0촀1,000 Bells"
"Money_02175","&#xE;2\0&#x4;\0촀62,000 Bells"
"Money_02115","&#xE;2\0&#x4;\0촀2,000 Bells"
"Money_02176","&#xE;2\0&#x4;\0촀63,000 Bells"
"Money_02116","&#xE;2\0&#x4;\0촀3,000 Bells"
"Money_02177","&#xE;2\0&#x4;\0촀64,000 Bells"
"Money_02117","&#xE;2\0&#x4;\0촀4,000 Bells"
"Money_02178","&#xE;2\0&#x4;\0촀65,000 Bells"
"Money_02118","&#xE;2\0&#x4;\0촀5,000 Bells"
"Money_02179","&#xE;2\0&#x4;\0촀66,000 Bells"
"Money_02119","&#xE;2\0&#x4;\0촀6,000 Bells"
"Money_02160","&#xE;2\0&#x4;\0촀47,000 Bells"
"Money_02161","&#xE;2\0&#x4;\0촀48,000 Bells"
"Money_02162","&#xE;2\0&#x4;\0촀49,000 Bells"
"Money_02163","&#xE;2\0&#x4;\0촀50,000 Bells"
"Money_02164","&#xE;2\0&#x4;\0촀51,000 Bells"
"Money_02165","&#xE;2\0&#x4;\0촀52,000 Bells"
"Money_02105","&#xE;2\0&#x4;\0촀100 Bells"
"Money_02166","&#xE;2\0&#x4;\0촀53,000 Bells"
"Money_02106","&#xE;2\0&#x4;\0촀200 Bells"
"Money_02167","&#xE;2\0&#x4;\0촀54,000 Bells"
"Money_02107","&#xE;2\0&#x4;\0촀300 Bells"
"Money_02168","&#xE;2\0&#x4;\0촀55,000 Bells"
"Money_02108","&#xE;2\0&#x4;\0촀400 Bells"
"Money_02169","&#xE;2\0&#x4;\0촀56,000 Bells"
"Money_02109","&#xE;2\0&#x4;\0촀500 Bells"
"Money_02150","&#xE;2\0&#x4;\0촀37,000 Bells"
"Money_02151","&#xE;2\0&#x4;\0촀38,000 Bells"
"Money_02152","&#xE;2\0&#x4;\0촀39,000 Bells"
"Money_02153","&#xE;2\0&#x4;\0촀40,000 Bells"
"Money_02154","&#xE;2\0&#x4;\0촀41,000 Bells"
"Money_02155","&#xE;2\0&#x4;\0촀42,000 Bells"
"Money_02156","&#xE;2\0&#x4;\0촀43,000 Bells"
"Money_02157","&#xE;2\0&#x4;\0촀44,000 Bells"
"Money_02158","&#xE;2\0&#x4;\0촀45,000 Bells"
"Money_02159","&#xE;2\0&#x4;\0촀46,000 Bells"
"Money_02140","&#xE;2\0&#x4;\0촀27,000 Bells"
"Money_02141","&#xE;2\0&#x4;\0촀28,000 Bells"
"Money_02142","&#xE;2\0&#x4;\0촀29,000 Bells"
"Money_02143","&#xE;2\0&#x4;\0촀30,000 Bells"
"Money_02144","&#xE;2\0&#x4;\0촀31,000 Bells"
"Money_02145","&#xE;2\0&#x4;\0촀32,000 Bells"
"Money_02146","&#xE;2\0&#x4;\0촀33,000 Bells"
"Money_02147","&#xE;2\0&#x4;\0촀34,000 Bells"
"Money_02148","&#xE;2\0&#x4;\0촀35,000 Bells"
"Money_02149","&#xE;2\0&#x4;\0촀36,000 Bells"
"Money_02190","&#xE;2\0&#x4;\0촀77,000 Bells"
"Money_02130","&#xE;2\0&#x4;\0촀17,000 Bells"
"Money_02191","&#xE;2\0&#x4;\0촀78,000 Bells"
"Money_02131","&#xE;2\0&#x4;\0촀18,000 Bells"
"Money_02192","&#xE;2\0&#x4;\0촀79,000 Bells"
"Money_02132","&#xE;2\0&#x4;\0촀19,000 Bells"
"Money_02193","&#xE;2\0&#x4;\0촀80,000 Bells"
"Money_02210","&#xE;2\0&#x4;\0촀97,000 Bells"
"Money_02133","&#xE;2\0&#x4;\0촀20,000 Bells"
"Money_02194","&#xE;2\0&#x4;\0촀81,000 Bells"
"Money_02211","&#xE;2\0&#x4;\0촀98,000 Bells"
"Money_02134","&#xE;2\0&#x4;\0촀21,000 Bells"
"Money_02195","&#xE;2\0&#x4;\0촀82,000 Bells"
"Money_02212","&#xE;2\0&#x4;\0촀99,000 Bells"
"Money_02135","&#xE;2\0&#x4;\0촀22,000 Bells"
"Money_02196","&#xE;2\0&#x4;\0촀83,000 Bells"
"Money_02136","&#xE;2\0&#x4;\0촀23,000 Bells"
"Money_02197","&#xE;2\0&#x4;\0촀84,000 Bells"
"Money_02137","&#xE;2\0&#x4;\0촀24,000 Bells"
"Money_02198","&#xE;2\0&#x4;\0촀85,000 Bells"
