"label","text"
"HousePost_08831","&#xE;2\0&#x4;Ā촃Blau-Eckigbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08900","&#xE;2\0&#x4;Ā촃Gelb-Holzbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_05342","&#xE;2\0&#x4;Ā촃Eckigbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08832","&#xE;2\0&#x4;Ā촃Weiß-Eckigbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08901","&#xE;2\0&#x4;Ā촃Grün-Holzbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_05343","&#xE;2\0&#x4;Ā촃Holzbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08833","&#xE;2\0&#x4;Ā촃Schwarz-Eckigbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08902","&#xE;2\0&#x4;Ā촃Blau-Holzbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_05344","&#xE;2\0&#x4;Ā촃Maxi-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08903","&#xE;2\0&#x4;Ā촃Weiß-Holzbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08672","&#xE;2\0&#x4;Ā촃Rot-Maxi-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08897","&#xE;2\0&#x4;Ā촃Schick-Holzbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_02571","&#xE;2\0&#x4;Ā촃Standard-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08673","&#xE;2\0&#x4;Ā촃Rosa-Maxi-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08898","&#xE;2\0&#x4;Ā촃Rot-Holzbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_05802","&#xE;2\0&#x4;Ā촃Rustikalbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08661","&#xE;2\0&#x4;Ā촃Rot-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08674","&#xE;2\0&#x4;Ā촃Gelb-Maxi-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08899","&#xE;2\0&#x4;Ā촃Rosa-Holzbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08662","&#xE;2\0&#x4;Ā촃Rosa-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08675","&#xE;2\0&#x4;Ā촃Grün-Maxi-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08663","&#xE;2\0&#x4;Ā촃Gelb-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08676","&#xE;2\0&#x4;Ā촃Blau-Maxi-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08827","&#xE;2\0&#x4;Ā촃Rot-Eckigbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08664","&#xE;2\0&#x4;Ā촃Grün-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08677","&#xE;2\0&#x4;Ā촃Weiß-Maxi-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08828","&#xE;2\0&#x4;Ā촃Rosa-Eckigbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08665","&#xE;2\0&#x4;Ā촃Blau-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08678","&#xE;2\0&#x4;Ā촃Schwarz-Maxi-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08829","&#xE;2\0&#x4;Ā촃Gelb-Eckigbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08666","&#xE;2\0&#x4;Ā촃Weiß-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08667","&#xE;2\0&#x4;Ā촃Schwarz-Briefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
"HousePost_08830","&#xE;2\0&#x4;Ā촃Grün-Eckigbriefkasten&#xE;2&#x16;\n\0\0\0&#x2;s"
