"label","text"
"004","&#xE;2\0&#x4;Ā촃shop"
"014","&#xE;2\0&#x4;Ā촃bathroom"
"024","&#xE;2\0&#x4;Ȁ촃expensive"
"005","&#xE;2\0&#x4;Ā촃music"
"015","&#xE;2\0&#x4;Ā촃fitness"
"025","&#xE;2\0&#x4;Ā촃fancy"
"006","&#xE;2\0&#x4;Ā촃school"
"016","&#xE;2\0&#x4;Ā촃freezing cold"
"007","&#xE;2\0&#x4;Ā촃garage"
"017","&#xE;2\0&#x4;Ā촃concert"
"008","&#xE;2\0&#x4;Ā촃kitchen"
"018","&#xE;2\0&#x4;Ā촃living room"
"009","&#xE;2\0&#x4;Ā촃child's room"
"010","&#xE;2\0&#x4;Ā촃facility"
"020","&#xE;2\0&#x4;Ā촃space"
"001","&#xE;2\0&#x4;Ȁ촃outdoors"
"011","&#xE;2\0&#x4;Ā촃den"
"021","&#xE;2\0&#x4;Ā촃folk art"
"002","&#xE;2\0&#x4;Ȁ촃ocean"
"012","&#xE;2\0&#x4;Ā촃zen-style"
"022","&#xE;2\0&#x4;Ā촃horror"
"003","&#xE;2\0&#x4;Ȁ촃office"
"013","&#xE;2\0&#x4;Ā촃party"
"023","&#xE;2\0&#x4;Ā촃garden"
