"label","text"
"991","&#xE;2\0&#x4;Ā촃butterfly backpack"
"992","&#xE;2\0&#x4;Ā촃studded backpack"
"980","&#xE;2\0&#x4;Ȁ촃acorn pochette"
"993","&#xE;2\0&#x4;Ā촃mini pleather bag"
"981","&#xE;2\0&#x4;Ā촃snowflake pochette"
"994","&#xE;2\0&#x4;Ȁ촃extra-large backpack"
"982","&#xE;2\0&#x4;Ā촃shellfish pochette"
"995","&#xE;2\0&#x4;Ā촃basket pack"
"970","&#xE;2\0&#x4;Ā촃hand-knit pouch"
"983","&#xE;2\0&#x4;Ā촃tool bag"
"996","&#xE;2\0&#x4;Ā촃foldover-top backpack"
"1185","&#xE;2\0&#x4;Ā촃DAL backpack"
"971","&#xE;2\0&#x4;Ā촃crossbody bag"
"984","&#xE;2\0&#x4;Ā촃retro sports bag"
"997","&#xE;2\0&#x4;Ā촃knapsack"
"972","&#xE;2\0&#x4;Ā촃pleather crossbody bag"
"985","&#xE;2\0&#x4;Ā촃sacoche bag"
"998","&#xE;2\0&#x4;Ā촃canvas backpack"
"973","&#xE;2\0&#x4;Ā촃crossbody boston bag"
"986","&#xE;2\0&#x4;Ȁ촃evening bag"
"999","&#xE;2\0&#x4;\0촀Mom's knapsack"
"974","&#xE;2\0&#x4;Ā촃gumdrop shoulder bag"
"987","&#xE;2\0&#x4;Ā촃log pack"
"1150","&#xE;2\0&#x4;Ā촃Nook Inc. knapsack"
"962","&#xE;2\0&#x4;Ā촃messenger bag"
"975","&#xE;2\0&#x4;Ā촃cloth shoulder bag"
"988","&#xE;2\0&#x4;Ā촃traveler's backpack"
"963","&#xE;2\0&#x4;Ā촃dry bag"
"976","&#xE;2\0&#x4;Ā촃straw pochette"
"989","&#xE;2\0&#x4;Ā촃square backpack"
"964","&#xE;2\0&#x4;Ā촃pleather shoulder bag"
"977","&#xE;2\0&#x4;Ā촃star pochette"
"965","&#xE;2\0&#x4;Ā촃fish pochette"
"978","&#xE;2\0&#x4;Ā촃cherry-blossom pochette"
"1203","&#xE;2\0&#x4;Ā촃Bunny Day bag"
"966","&#xE;2\0&#x4;Ā촃tackle bag"
"979","&#xE;2\0&#x4;Ā촃maple-leaf pochette"
"967","&#xE;2\0&#x4;Ā촃bug cage"
"1000","&#xE;2\0&#x4;Ā촃knitted-grass backpack"
"968","&#xE;2\0&#x4;Ā촃faux-fur bag"
"1001","&#xE;2\0&#x4;Ā촃hard-shell backpack"
"969","&#xE;2\0&#x4;Ā촃pleather fringe bag"
"957","&#xE;2\0&#x4;Ā촃town backpack"
"958","&#xE;2\0&#x4;Ā촃travel pouch"
"990","&#xE;2\0&#x4;Ȁ촃outdoor backpack"
